number,date,client_code,amount,client_type
11MS1756728770578,2025-11-01,MS10001,10860,C
11MS1756734386179,2025-11-01,MS24068,92386,C
11MS1756806602387,2025-11-02,MS67524,51606,C
11MS1756806734875,2025-11-03,MS10001,33483,C
11MS1756375669184,2025-11-03,MS37568,19692,C
11MS1756389443000,2025-11-04,MS24068,96807,C
11MS1756727200070,2025-11-05,MS24068,13561,C
11MS1756805078379,2025-11-01,MS90712,114925,V
11MS1756805216425,2025-11-02,MS11708,180608,V
11MS1756807446400,2025-11-03,MS11708,224073,V
11MS1756810353303,2025-11-05,MS23154,89504,V
11MS1756810522445,2025-11-05,MS49926,72662,V
11MS1756806360258,2025-11-02,MS10001,28431,C
11MS1756806378833,2025-11-02,MS10001,12747,C
11MS1756364788660,2025-11-03,MS24068,77121,C
11MS1756373409893,2025-11-03,MS37568,62995,C
11MS1756726770580,2025-11-05,MS10001,49504,C
11MS1756726960600,2025-11-05,MS10001,71858,C
11MS1756727530496,2025-11-05,MS24068,74505,C
11MS1756736217138,2025-11-05,MS89891,20965,C
11MS1756805148964,2025-11-01,MS90712,55311,V
11MS1756805264336,2025-11-02,MS23154,199503,V
11MS1756807244024,2025-11-02,MS90712,53890,V
11MS1756807431893,2025-11-03,MS11708,58792,V
11MS1756807855241,2025-11-04,MS11708,149299,V
11MS1756810427541,2025-11-05,MS37685,111858,V
11MS1756774179136,2025-11-01,MS37568,10769,C
11MS1756377467920,2025-11-03,MS67524,75697,C
11MS1756725666008,2025-11-04,MS67524,71228,C
11MS1756726084125,2025-11-04,MS67524,72592,C
11MS1756806763767,2025-11-02,MS37685,173855,V
11MS1756807533289,2025-11-03,MS37685,98555,V
11MS1756807593162,2025-11-03,MS49926,248193,V
11MS1756810041913,2025-11-04,MS49926,101214,V
11MS1756810518231,2025-11-05,MS49926,233323,V
11MS1756728836295,2025-11-01,MS10001,64886,C
11MS1756806646303,2025-11-02,MS67524,18792,C
11MS1756806675675,2025-11-02,MS89891,83969,C
11MS1756378325520,2025-11-03,MS67524,47065,C
11MS1756384920076,2025-11-04,MS10001,34300,C
11MS1756429929259,2025-11-04,MS24068,73704,C
11MS1756438902407,2025-11-04,MS37568,61214,C
11MS1756726957403,2025-11-05,MS10001,23986,C
11MS1756735131769,2025-11-05,MS67524,45222,C
11MS1756804878576,2025-11-01,MS23154,160268,V
11MS1756804936692,2025-11-01,MS37685,66023,V
11MS1756805039400,2025-11-01,MS49926,50769,V
11MS1756807134490,2025-11-02,MS49926,116803,V
11MS1756807963353,2025-11-04,MS23154,105591,V
11MS1756808022451,2025-11-04,MS23154,73247,V
11MS1756810153051,2025-11-05,MS11708,170151,V
11MS1756810337465,2025-11-05,MS23154,229262,V
11MS1756810500827,2025-11-05,MS49926,76854,V
11MS1756776228668,2025-11-01,MS89891,93104,C
11MS1756806406200,2025-11-02,MS24068,75725,C
11MS1756806519862,2025-11-02,MS37568,21394,C
11MS1756806612488,2025-11-02,MS67524,97313,C
11MS1756377340737,2025-11-03,MS67524,81211,C
11MS1756727891385,2025-11-05,MS37568,88603,C
11MS1756735258204,2025-11-05,MS67524,87373,C
11MS1756737245449,2025-11-01,MS11708,171958,V
11MS1756804885794,2025-11-01,MS23154,187337,V
11MS1756804893300,2025-11-01,MS23154,137498,V
11MS1756806881210,2025-11-02,MS37685,240222,V
11MS1756807475273,2025-11-03,MS23154,174243,V
11MS1756807813992,2025-11-04,MS11708,87065,V
11MS1756810428760,2025-11-05,MS37685,179312,V
11MS1756810504877,2025-11-05,MS49926,114505,V
11MS1756734574340,2025-11-01,MS24068,97498,C
11MS1756806583413,2025-11-02,MS37568,13890,C
11MS1756381083677,2025-11-03,MS89891,50397,C
11MS1756386031907,2025-11-04,MS24068,92798,C
11MS1756738834593,2025-11-01,MS11708,169879,V
11MS1756804920645,2025-11-01,MS37685,176324,V
11MS1756804927577,2025-11-01,MS37685,225203,V
11MS1756804952587,2025-11-01,MS49926,91090,V
11MS1756805181238,2025-11-02,MS11708,135305,V
11MS1756805284118,2025-11-02,MS23154,52747,V
11MS1756807097182,2025-11-02,MS49926,106886,V
11MS1756807804312,2025-11-04,MS11708,246769,V
11MS1756809925366,2025-11-04,MS37685,132798,V
